Time;Press;Temp;Rain;WDir;Humid;SolRad  W;DirSD;WGust;WVect
2017-08-29T00:00:00;1014.93;23.92;0;248.9;90.8;0;0.44;1.02;0.58
2017-08-29T00:10:00;1014.93;23.84;0;250.3;91.5;0;44.43;1.56;0.56
2017-08-29T00:20:00;1014.93;23.32;0;35.6;90.3;0;13.28;2.98;1.85
2017-08-29T00:30:00;1014.93;23.07;0;30.5;85.6;0;8.08;4.45;3.36
2017-08-29T00:40:00;1014.93;23.36;0;18.1;82.1;0;22.34;4.65;3.25
2017-08-29T00:50:00;1014.93;23.35;0;17.4;82.5;0;22.59;3.09;1.85
2017-08-29T01:00:00;1014.93;23.29;0;1.5;83.7;0;20.49;3.5;2
2017-08-29T01:10:00;1014.93;23.36;0;6.7;84.3;0;17.57;3.94;2.59
2017-08-29T01:20:00;1014.93;23.46;0;5.6;83.2;0;18.69;3.91;2.39
2017-08-29T01:30:00;1014.93;23.51;0;16.7;82.2;0;19.03;3.09;2.18
2017-08-29T01:40:00;1014.93;23.68;0;3.8;80.6;0;21.33;3.46;2.25
2017-08-29T01:50:00;1014.93;23.74;0;23.3;79.8;0;9.43;4.01;2.99
2017-08-29T02:00:00;1014.93;23.65;0;354.8;79.7;0;24.86;3.77;2.49
2017-08-29T02:10:00;1014.93;23.76;0;346.5;77.8;0;17.93;3.41;2.61
2017-08-29T02:20:00;1014.93;23.93;0;354.4;74.4;0;38.26;3.52;2.19
2017-08-29T02:30:00;1014.93;24.08;0;351.6;70.7;0;19.83;2.97;1.97
2017-08-29T02:40:00;1014.93;24.12;0;330.6;70.8;0;7.45;2.15;1.57
2017-08-29T02:50:00;1014.93;23.55;0;344;75.4;0;12.71;2.42;1.74
2017-08-29T03:00:00;1014.93;23.66;0;346.3;73.1;0;8.36;2.47;1.86
2017-08-29T03:10:00;1014.93;23.73;0;339.2;71.9;0;2.83;2.31;1.52
2017-08-29T03:20:00;1014.93;23.51;0;334.3;73.3;0;0;1.78;1.27
2017-08-29T03:30:00;1014.93;23.52;0;333.4;72.1;0;0.73;2.53;1.87
2017-08-29T03:40:00;1014.93;23.67;0;333;70.6;0;0;1.87;1.16
2017-08-29T03:50:00;1014.93;23.44;0;332.7;72.9;0;0;1.46;0.97
2017-08-29T04:00:00;1014.93;23.13;0;332.7;74.2;0;0;1.51;1.17
2017-08-29T04:10:00;1014.93;23.21;0;332.6;72.8;0;0;1.64;1.09
2017-08-29T04:20:00;1014.93;23.16;0;343.2;72.7;0;28.72;1.63;0.73
2017-08-29T04:30:00;1014.93;23.04;0;9.5;72.6;2.79;23.54;1.92;1.24
2017-08-29T04:40:00;1014.93;23.13;0;23.3;71.3;2.026;21.24;2.43;1.44
2017-08-29T04:50:00;1014.93;23;0;25.5;71.5;5.158;16.13;3.27;2.26
2017-08-29T05:00:00;1014.93;23.19;0;18.9;69.71;14.45;9.83;3.4;2.52
2017-08-29T05:10:00;1014.93;23.21;0;23.5;69.02;25.64;19.1;3.73;2.37
2017-08-29T05:20:00;1014.93;22.99;0;23.1;69.87;39.53;15.39;3.23;1.98
2017-08-29T05:30:00;1014.93;22.92;0;38.7;69.64;55.57;16.49;4.44;2.58
2017-08-29T05:40:00;1014.93;22.88;0;32.3;69.9;73.6;30.69;3.98;1.92
2017-08-29T05:50:00;1014.93;23.1;0;11.6;68.79;94.5;35.55;1.82;0.89
2017-08-29T06:00:00;1014.93;23.07;0;359.9;68.59;118.3;10.14;3.97;2.45
2017-08-29T06:10:00;1014.93;23.23;0;34.3;67.45;143.5;17.74;5.08;3.08
2017-08-29T06:20:00;1014.93;23.35;0;27.6;66.74;170.9;14.66;4.67;3.11
