date_time,depth,temperature,Green,Bluegreen,Diatoms,Cryptophyta,total conc.,trans,yellow
2006-03-28T09:46:34,-0.18,13.72,0.52,0,3.14,0,3.66,3.66,3.66
2006-03-28T09:46:36,-0.2,11.71,0.09,0,3.56,0,3.65,3.65,3.65
2006-03-28T09:46:39,-0.28,11.26,0.43,0,3.8,0,4.23,4.23,4.23
2006-03-28T09:46:42,-0.36,10.88,0.43,0,3.76,0,4.19,4.19,4.19
2006-03-28T09:46:45,-0.28,10.76,0.5,0,3.89,0,4.38,4.38,4.38
2006-03-28T09:46:48,-0.49,10.76,0.53,0,3.94,0,4.47,4.47,4.47
2006-03-28T09:46:51,-0.72,10.57,0.41,0,3.99,0,4.4,4.4,4.4
2006-03-28T09:46:54,-1.01,10.33,0.51,0,4.15,0,4.66,4.66,4.66
2006-03-28T09:46:56,-1.21,10.22,0.45,0,3.92,0,4.37,4.37,4.37
2006-03-28T09:46:59,-1.27,10.21,0.54,0,4.14,0,4.68,4.68,4.68
2006-03-28T09:47:02,-1.45,10.19,0.45,0,4.31,0,4.76,4.76,4.76
2006-03-28T09:47:05,-1.57,10.14,0.48,0,4.01,0,4.49,4.49,4.49
2006-03-28T09:47:08,-1.73,10,0.45,0,4.39,0,4.84,4.84,4.84
2006-03-28T09:47:11,-2.05,9.84,0.43,0,4.43,0,4.86,4.86,4.86
2006-03-28T09:47:16,-2.13,9.9,0.73,0,3.94,0,4.67,4.67,4.67
2006-03-28T09:47:19,-2.34,9.85,0.63,0,4.13,0,4.76,4.76,4.76
2006-03-28T09:47:21,-2.48,9.77,0.35,0,4.19,0,4.54,4.54,4.54
2006-03-28T09:47:24,-2.7,9.7,0.42,0,4.2,0,4.63,4.63,4.63
2006-03-28T09:47:27,-2.84,9.62,0.51,0,4.12,0,4.63,4.63,4.63
2006-03-28T09:47:30,-2.97,9.58,0.42,0,4.06,0,4.48,4.48,4.48
2006-03-28T09:47:33,-3.25,9.58,0.53,0,4.18,0,4.7,4.7,4.7
2006-03-28T09:47:36,-3.44,9.47,0.48,0,4.25,0,4.73,4.73,4.73
2006-03-28T09:47:39,-3.55,9.4,0.64,0,4.02,0,4.66,4.66,4.66
2006-03-28T09:47:41,-3.78,9.39,0.32,0,4.11,0,4.43,4.43,4.43
2006-03-28T09:47:44,-3.93,9.42,0.45,0,4.12,0,4.57,4.57,4.57
2006-03-28T09:47:47,-4.22,9.38,0.41,0,4.23,0,4.64,4.64,4.64
2006-03-28T09:47:50,-4.33,9.26,0.55,0,4.29,0,4.84,4.84,4.84
2006-03-28T09:47:53,-4.52,9.19,0.66,0,4.19,0,4.86,4.86,4.86
2006-03-28T09:47:56,-4.69,9.06,0.65,0,4.41,0,5.06,5.06,5.06
2006-03-28T09:47:59,-4.95,9.06,0.45,0,4.3,0,4.76,4.76,4.76
2006-03-28T09:48:01,-5.21,9.05,0.44,0,4.42,0,4.87,4.87,4.87
2006-03-28T09:48:04,-5.46,9.02,0.74,0,4.21,0,4.95,4.95,4.95
2006-03-28T09:48:07,-5.7,8.98,0.56,0,4.38,0,4.93,4.93,4.93
2006-03-28T09:48:10,-5.93,8.98,0.51,0,4.26,0,4.77,4.77,4.77
2006-03-28T09:48:13,-6.21,8.89,0.68,0,4.3,0,4.98,4.98,4.98
2006-03-28T09:48:18,-6.4,8.9,0.42,0,4.66,0,5.08,5.08,5.08
